Arıza/Bakım;Bildirim Tarihi;Ekipman Adı;Arıza/Bakım Grubu;Arıza/Bakım Türü;Arıza/Bakım Detayı;Parça Adedi;"Müdahale Başl. 
Tarihi";"Müdahale Bitiş 
Tarihi";Müdahale Başl. Saati;Müdahale Bitiş Saati;Müdahale Süresi (Dk.);Açıklama
Arıza;17.02.2022;Sarsak-1;Mekanik;Hava Kilidi Arızası;Kaplin Değişimi;1;17.02.2022;17.02.2022;22:45;00:00;75;Sarsak -1 hava kilidi kaplini değiştirildi
Arıza;18.02.2022;Kondisyonel-1;Mekanik;Vinas Arızası;Vinas Arızası;;18.02.2022;18.02.2022;09:30;11:00;90;Kondisyonel-1 vinas borusu patlamıştı değiştirildi
Bakım;18.02.2022;Mikser;Mekanik;Mikser Vibratör Bakımı;Mikser Vibratör Bakımı;;18.02.2022;18.02.2022;14:25;14:40;15;Mikser üstü vibratör gevşekti sıkıldı
Bakım;18.02.2022;Expander-1;Mekanik;Toz Keçe Bakımı;Toz Keçe Değişimi;;18.02.2022;18.02.2022;08:10;10:15;125;Expander-1 toz keçesinde kaçak vardı değişitirildi
Bakım;18.02.2022;Pres-1;Mekanik;Disk Bakımı;Disk Delikleri Açıldı;;18.02.2022;18.02.2022;10:15;12:00;105;Pres-1 disk delikleri açıldı 
Arıza;19.02.2022;Mikser;Mekanik;Mısır Suyu Pompa Arızası;Mısır Suyu Pompa Değişimi;1;19.02.2022;19.02.2022;08:10;09:20;70;Yeni fabrika miksere mısır suyu basan pompa değişimi yapıldı
Arıza;19.02.2022;Pres-1;Mekanik;Motor Kayış Arızası;Motor Kayış Değişimi;;19.02.2022;19.02.2022;13:00;16:20;200;Pres-1 motor kayışları komplr değiştirildi
Arıza;21.02.2022;Pres Elevatörü-3;Mekanik;Akış Arızası;Akış Arızası;;21.02.2022;21.02.2022;02:40;02:55;15;Pres elevatörü-3 akışında dlik vardı kapatıldı
Bakım;21.02.2022;Mikser;Mekanik;Mikser Bakımı;Mikser Bakımı;;21.02.2022;21.02.2022;08:10;09:30;80;Yeni fabrika mikserin rulmanları yağlandı ve toz atan yerleri kapatıldı
Arıza;21.02.2022;Pres-4;Mekanik;Ön Ayna Arızası;Ön Ayna Cıvata Değişimi;7;21.02.2022;21.02.2022;09:45;11:00;75;Pres-4 ön aynasında 7 tane diskte 2 tane çivata kesmişti kaynak ile çıkartılıp yenileri takıldı
Arıza;21.02.2022;Değirmen-1;Mekanik;Besleme Arızası;Besleme Arızası;;21.02.2022;21.02.2022;19:25;19:45;20;Değirmen-1 beslemesi sıkışmıştı açıldı
Arıza;21.02.2022;Pres-4;Mekanik;Sigorta Arızası;Sigorta Değişimi;2;21.02.2022;21.02.2022;21:05;22:55;110;Pres-4 sigorta kemişti değişim yapıldı
Bakım;22.02.2022;Pres-1;Mekanik;Motor Bakımı;Motor Kayış Bakımı;;22.02.2022;22.02.2022;08:30;09:00;30;Pres-1 motor kayışları gevşekti gerilip ayarlandı
Bakım;22.02.2022;Expander-3;Mekanik;Ön Gömlek Bakımı;Ön Gömlek Değişimi;1;22.02.2022;22.02.2022;09:30;11:30;105;Expander-3 ön gömlek değişimi yapıldı
Bakım;22.02.2022;Expander-4;Mekanik;Padıl Bakımı;Padıl Değişimi;7;22.02.2022;22.02.2022;11:30;16:30;225;Expander-3 padıl değişimi yapıldı
Bakım;23.02.2022;Expander-4;Mekanik;Ön Ayna Bakımı;Ön Ayna Bakımı;;23.02.2022;23.02.2022;08:30;13:30;300;Expander-4 ön ayna kırık çivataları çıkartıldı yerlerine yeni çivatalar takıldı
Bakım;23.02.2022;Expander-4;Mekanik;Sigorta Bakımı;Sigorta Bakımı;;23.02.2022;23.02.2022;13:30;16:00;150;Expander-4 sigorta burçları değişitirldi
Arıza;24.02.2022;Kondisyonel-1;Mekanik;Vinas Arızası;Vinas Valf Arızası;;24.02.2022;24.02.2022;08:50;09:40;50;Kondisyonel-1 vinas valften kaçırıyordu keçeler değiştirildi
Arıza;25.02.2022;Expander-3;Mekanik;Isı Sensörü Arızası;Isı Sensörü Arızası;;25.02.2022;25.02.2022;15:50;16:00;10;Expander-3 ısı sensör arızası veriyordu bakıldı
Arıza;25.02.2022;Paketleme-3;Mekanik;Kefe Arızası;Kefe Arızası;;25.02.2022;25.02.2022;00:30;00:55;25;Paketleme-3 1 nolu kefe fazla mal veriyorduklepeler kontrol edildi
Bakım;26.02.2022;Paketleme-2;Mekanik;Zincirli Padıl Bakımı;Zincirli Padıl Değişimi;600;26.02.2022;26.02.2022;12:45;13:45;60;Paketleme-2 zincirlinin padıllları değiştiirldi
Bakım;27.02.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Bakımı;;27.02.2022;27.02.2022;01:10;01:25;15;Değirmen-1 elek ve çekiçler kontrol edildi
Bakım;27.02.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Bakımı;;27.02.2022;27.02.2022;01:25;01:40;15;Değirmen-1 elek ve çekiçler kontrol edildi
Bakım;27.02.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;27.02.2022;27.02.2022;22:00;22:10;10;Elekler 4*3 oldu
Bakım;27.02.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;27.02.2022;27.02.2022;22:10;22:20;10;Elekler 4*3 oldu
Bakım;28.02.2022;Paketleme-2;Mekanik;Zincirli Padıl Bakımı;Zincirli Padıl Değişimi;;28.02.2022;28.02.2022;02:30;03:30;60;Paketleme zincirlileri için zincir ve padıllar hazırlık yapıldı yedekte bekletilmek için
Bakım;28.02.2022;Pres-1;Mekanik;Rulo Bakımı;Rulo Bakımı;;28.02.2022;28.02.2022;09:30;11:00;90;Pres-1 2 adet rulo rulmanları çıkartılıp temizliği yapıldı
Bakım;28.02.2022;Pres-2;Mekanik;Rulo Bakımı;Rulo Bakımı;;28.02.2022;28.02.2022;11:00;12:30;90;Pres-2 2 adet rulo rulmanları çıkartılıp temizliği yapıldı
Bakım;28.02.2022;Pres-3;Mekanik;Rulo Bakımı;Rulo Bakımı;;28.02.2022;28.02.2022;13:45;15:20;95;Pres-3 2 adet rulo rulmanları çıkartılıp temizliği yapıldı
Bakım;28.02.2022;Pres-4;Mekanik;Rulo Bakımı;Rulo Bakımı;;28.02.2022;28.02.2022;15:20;17:00;100;Pres-4 2 adet rulo rulmanları çıkartılıp temizliği yapıldı
Arıza;1.03.2022;Pres Eleği-2;Mekanik;Lastik Arızası;Lastik Değişimi;;1.03.2022;1.03.2022;09:10;10:00;50;Pres eleği-2 lastiği patlaktı değiştirildi
Bakım;1.03.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;1.03.2022;1.03.2022;08:30;08:40;10;Elekler 4*4 oldu
Bakım;1.03.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;1.03.2022;1.03.2022;08:40;08:50;10;Elekler 4*4 oldu
Arıza;1.03.2022;Mikser;Mekanik;Mısır Suyu Pompa Arızası;Mısır Suyu Pompa Değişimi;;1.03.2022;1.03.2022;14:00;15:10;70;Yeni fabrika miksere mısır suyu basan pompa değişimi yapıldı
Arıza;1.03.2022;Kondisyonel-4;Mekanik;Motor Arızası;Motor Kayış Değişimi;4;1.03.2022;1.03.2022;19:30;20:15;45;Kondisyonel-4  kayışları yandı, değiştirildi.
Arıza;4.03.2022;Paketleme-4;Mekanik;Kefe Arızası;Kefe Arızası;;4.03.2022;4.03.2022;04:45;04:55;10;Yeni fabrika paketleme-4 kefe pistonun yerinden çıkmıştı takıldı
Arıza;4.03.2022;Sarsak-3;Mekanik;Sarsak Arızası;Sarsak Arızası;;4.03.2022;4.03.2022;14:30;14:55;25;Sarsak-3 mal kaçırıyordu kaçak yerleri kapatıldı
Bakım;5.03.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;5.03.2022;5.03.2022;09:00;09:15;15;Elekler 4*4 oldu
Bakım;5.03.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;5.03.2022;5.03.2022;09:15;09:30;15;Elekler 4*4 oldu
Bakım;5.03.2022;Pres-4;Mekanik;Motor Kayış Bakımı;Motor Kayış Bakımı;;5.03.2022;5.03.2022;09:00;09:30;30;Pres-4 motor kayışları gerildi
Arıza;5.03.2022;Paketleme-3;Mekanik;Zincir Arızası;Zincir Arızası;;5.03.2022;5.03.2022;11:00;12:00;60;Paketleme-3 zinciri ek yerinden koptu yapıldı
Bakım;7.03.2022;Expander-4;Mekanik;Koni Yağ Bakımı;Koni Yağ Bakımı;;7.03.2022;7.03.2022;15:00;15:35;35;Expander-4 koni yağ değişimi yapıldı
Arıza;7.03.2022;Değirmen-1;Mekanik;Besleme Arızası;Besleme Arızası;;7.03.2022;7.03.2022;18:20;18:35;15;Değirmen-1 beslemesi sıkışmıştı açıldı
Bakım;8.03.2022;Mikser;Mekanik;Mikser Bakımı;Mikser Bakımı;;8.03.2022;8.03.2022;13:50;14:10;20;Yeni fabrika mikserde kaçaklar vardı kapatıldı
Arıza;8.03.2022;Mikser ;Mekanik;Havalı Vana Arızası;Havalı Vana Arızası;;8.03.2022;8.03.2022;08:30;12:00;210;Yeni fabrika mikser yanındaki tankların havalı vanaları kaçak vardı yapıldı
Arıza;8.03.2022;Değirmen-2;Mekanik;Elek Arızası;Elek Değişimi;2;8.03.2022;8.03.2022;08:20;08:30;10;2 adet patlak elek vardı değiştirildi
Arıza;9.03.2022;Expander-3;Mekanik;Kırıcı Arıza;Kırıcı Arıza;;9.03.2022;9.03.2022;11:30;12:10;40;Expander-3 kırıcı sıkışmıştı temizlendi
Bakım;9.03.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Bakımı;;9.03.2022;9.03.2022;12:00;12:08;8;Değirmen-1 elek ve çekiçler kontrol edildi
Bakım;9.03.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Bakımı;;9.03.2022;9.03.2022;12:08;12:15;7;Değirmen-2 elek ve çekiçler kontrol edildi
Bakım;9.03.2022;Paketleme-1;Mekanik;Kefe Motor Bakımı;Kefe Motor Bakımı;;9.03.2022;9.03.2022;14:00;16:00;120;Eski fabrika paketleme-1 kefe motoru için redüktör ve motor hazırlandı
Bakım;9.03.2022;Paketleme-2;Mekanik;Vibratör Bakımı;Vibratör Bakımı;;9.03.2022;9.03.2022;14:00;15:15;75;Eski fabrika paketleme-2 bunkere redüktör kaynatıldı
Arıza;10.03.2022;Değirmen-1;Mekanik;Besleme Arızası;Besleme Arızası;;10.03.2022;10.03.2022;17:00;17:15;15;Değirmen-1 beslemesi sıkışmıştı açıldı
Bakım;11.03.2022;Pres-1;Mekanik;Pres Bakımı;Pres Bakımı;;11.03.2022;11.03.2022;09:30;12:00;150;Pres-1 rulmanları kontrol edilip yağlandı sabitleme ayağı kırıktı kaynak yapıldı
Bakım;11.03.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;11.03.2022;11.03.2022;21:25;21:50;25;Elekler4*3 oldu vuran taraf 3
Bakım;11.03.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;11.03.2022;11.03.2022;21:50;22:05;15;Elekler4*3 oldu vuran taraf 3
Arıza;14.03.2022;Sarsak-3;Mekanik;Piston Arızası;Piston Arızası;;14.03.2022;14.03.2022;03:30;03:45;15;Sarsak-3 piston açmıyordu hava hortumu değiştirildi
Bakım;14.03.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;14.03.2022;14.03.2022;04:30;04:50;20;Elekler 3*3 oldu
Bakım;14.03.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;14.03.2022;14.03.2022;04:50;05:10;20;Elekler 3*3 oldu
Bakım;15.03.2022;Değirmen-2;Mekanik;Alt Çene Bakımı;Alt Çene Değişimi;2;15.03.2022;15.03.2022;09:00;12:00;180;Değirmen-2 alt çene değişimi yapıldı
Bakım;15.03.2022;Değirmen-2;Mekanik;Çekiç Bakımı;Çekiç Değişimi;304;15.03.2022;15.03.2022;12:00;14:00;120;Değirmen-2 çekiç değişimi yapıldı
Bakım;15.03.2022;Değirmen-2;Mekanik;Mil Bakımı;Mil Değişimi;16;15.03.2022;15.03.2022;14:00;16:00;120;Değirmen-2 mil değişimş yapıldı
Bakım;15.03.2022;Expander-4;Mekanik;Kafa Padıl Bakımı;Kafa Padıl Değişimi;1;15.03.2022;15.03.2022;11:30;13:30;120;Expander-4 kafa padılı değimi yapıldı
Bakım;15.03.2022;Expander-4;Mekanik;Taç Bakımı;Taç Değişimi;1;15.03.2022;15.03.2022;13:30;14:50;80;Expander-4 taç değişimi yapıldı
Bakım;15.03.2022;Expander-4;Mekanik;Koni Bakımı;Koni Değişimi;1;15.03.2022;15.03.2022;14:50;15:40;50;Expander-4 koni değişimi yapıldı
Bakım;15.03.2022;Expander-4;Mekanik;Stop Cıvata Bakımı;Stop Cıvata Değişimi;6;15.03.2022;15.03.2022;15:40;16:30;50;Expander-4 6 adet stop cıvata değişimi yapıldı
Bakım;15.03.2022;Değirmen-1;Mekanik;Alt Çene Bakımı;Alt Çene Değişimi;2;15.03.2022;15.03.2022;08:30;12:00;210;Değirmen-1 alt çene değişimi yapıldı
Bakım;15.03.2022;Değirmen-1;Mekanik;Çekiç Bakımı;Çekiç Değişimi;304;15.03.2022;15.03.2022;12:00;14:00;120;Değirmen-1 çekiç değişimi yapıldı
Bakım;15.03.2022;Değirmen-1;Mekanik;Mil Bakımı;Mil Değişimi;16;15.03.2022;15.03.2022;14:00;16:20;140;Değirmen-1 mil değişimş yapıldı
Arıza;15.03.2022;Sarsak-3;Mekanik;Piston Arızası;Piston Arızası;;15.03.2022;15.03.2022;19:00;19:30;30;Sarsak-3 piston açmıyordu hava hortumu değiştirildi
Bakım;16.03.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;16.03.2022;16.03.2022;18:00;18:15;15;Elekler 5*4'ti 5*5 yapıldı
Bakım;16.03.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;16.03.2022;16.03.2022;18:15;18:35;20;Elekler 5*4'ti 5*5 yapıldı
Arıza;17.03.2022;Değirmen-1;Mekanik;Elek Arızası;Elek Değişimi;2;17.03.2022;17.03.2022;08:15;08:25;10;2 adet patlak elek vardı değiştirildi
Bakım;17.03.2022;Paketleme-1;Mekanik;Koruma Kapağı;Koruma Kapağı;;17.03.2022;17.03.2022;11:20;11:40;20;Eski fabrika paketleme-1 kefe motorunun koruma kapağı yerine takıldı
Bakım;17.03.2022;Pres-1;Mekanik;Rulo Bakımı;Rulo Toplama;2;17.03.2022;17.03.2022;14:00;16:40;160;2 adet sıfır rulo toplandı
Arıza;17.03.2022;Pres-1;Mekanik;Vinas Arızası;Pompa Sıkışması;;17.03.2022;17.03.2022;18:10;18:30;20;Pres-1 vinas pompası sıkışmıştı kaldırıldı
Bakım;18.03.2022;Sarsak-4;Mekanik;Sarsak Bakımı;Sarsak Bakımı;;18.03.2022;18.03.2022;08:10;08:40;30;Sarsak-4 malı sıcak sallıyordu alt ve üst saçlar kontrol edildi
Arıza;21.03.2022;Pres-2;Mekanik;Vinas Arızası;Vinas Arızası;;21.03.2022;21.03.2022;16:40;17:00;20;Pres-2 vinas tesisatında kaçak vardı kaynatıldı
Bakım;21.03.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Bakımı;;21.03.2022;21.03.2022;23:00;23:15;15;Elekler kontrol edildi
Bakım;21.03.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Bakımı;;21.03.2022;21.03.2022;23:15;23:30;15;Elekler kontrol edildi
Bakım;22.03.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;22.03.2022;22.03.2022;08:00;08:30;30;Elekler 5*4 yapıldı
Bakım;22.03.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;22.03.2022;22.03.2022;08:30;09:00;30;Elekler 5*4 yapıldı
Bakım;22.03.2022;Pres Fanı;Mekanik;Pres Fanı;Pres Fanı;;22.03.2022;22.03.2022;10:00;16:30;300;5. kattaki pres fanı 7. kata çıkarıldı
Arıza;22.03.2022;Değirmen-1;Mekanik;Besleme Arızası;Besleme Sıkışması;;22.03.2022;22.03.2022;16:30;17:00;30;Değirmen-1 beslemesi sıkışmıştı açıldı
Arıza;22.03.2022;Kondisyonel-1;Mekanik;Motor Arızası;Motor Kayış Değişimi;4;22.03.2022;22.03.2022;17:25;18:20;55;Kondisyonel-1  kayışları yandı, değiştirildi.
Bakım;23.03.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;23.03.2022;23.03.2022;22:10;22:40;30;Elekler 4*4 yapıldı
Bakım;23.03.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;23.03.2022;23.03.2022;22:40;23:00;20;Elekler 4*4 yapıldı
Arıza;24.03.2022;Pres-4;Mekanik;Pres Arızası;Pres Arızası;;24.03.2022;24.03.2022;00:30;01:40;70;Pres-4 gitmiyordu rulo söküldü sabah disk ve rulolar değiştirelecek
Arıza;24.03.2022;Pres-4;Mekanik;Disk Arızası;Dirsek Değişimi;1;24.03.2022;24.03.2022;08:00;12:00;240;Pres-4 disk değişimi yapıldı taşlanmış disk takıldı
Arıza;24.03.2022;Pres-4;Mekanik;Rulo Arızası;Rulo Değişimi;2;24.03.2022;24.03.2022;12:00;14:15;135;Pres-4 rulo değişimi yapıldı sıfır rulo takıldı
Arıza;24.03.2022;Paketleme-2;Mekanik;Etiket Makine Arızası;Rulo Mili Arızası;1;24.03.2022;24.03.2022;20:10;20:45;35;Paketleme-2 rulo mili yerinden çıkmıştı yerine takıldı
Bakım;25.03.2022;Pres-1;Mekanik;Kaplin Yatağı Bakımı;Kaplin Yatağı Bakımı;;25.03.2022;25.03.2022;08:00;09:00;60;Pres-1 kaplin yatağının maşonu sıkıldı yağları kontrol edildi
Arıza;26.03.2022;Sarsak-3;Mekanik;Sigorta Arızası;Sigorta Değişimi;1;26.03.2022;26.03.2022;00:40;01:15;35;Sarsak-3 kapakları açma kapamam yapmıyordu sigortası değiştirildi
Arıza;26.03.2022;Değirmen-2;Mekanik;Elek Arızası;Elek Değişimi;4;26.03.2022;26.03.2022;08:30;08:50;20;4 tane patlak elek vardı değiştirildi
Bakım;26.03.2022;Paketleme-4;Mekanik;Bant Bakımı;Bant Bakımı;;26.03.2022;26.03.2022;13:00;14:00;60;Paketleme-4 çuval taşıma bandına çuval dayama saçı kaynatılıp ayarlandı
Arıza;27.03.2022;Mikser;Mekanik;Vinas Arızası;Valf Yağlaması;;27.03.2022;27.03.2022;23:20;23:40;20;Eski fabrika mikserin kapakları takılıyordu valfleri yağlandı
Bakım;28.03.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;28.03.2022;28.03.2022;00:30;00:45;15;Elekler 4*3 oldu
Bakım;28.03.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;28.03.2022;28.03.2022;00:45;01:00;15;Elekler 4*3 oldu
Bakım;28.03.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;28.03.2022;28.03.2022;04:00;04:10;10;Elekler 3*3 oldu
Bakım;28.03.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;28.03.2022;28.03.2022;04:10;04:20;10;Elekler 3*3 oldu
Bakım;28.03.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;28.03.2022;28.03.2022;08:25;09:15;50;Elekler 5*4 oldu. Yön değişti
Bakım;28.03.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;28.03.2022;28.03.2022;09:15;10:00;45;Elekler 5*4 oldu. Yön değişti
Arıza;28.03.2022;Paketleme-4;Mekanik;Kefe Arızası;Kefe Arızası;;28.03.2022;28.03.2022;08:45;09:30;45;Pakatleme-4 kefesinin hava hortumu kopmuştu hortum takıldı
Arıza;29.03.2022;Paketleme-4;Mekanik;Kızak Arızası;Kızak Arızası;;29.03.2022;29.03.2022;13:30;14:00;30;Paketleme-4 çuvallar yamuk geliyordu kızağa bakıldı açık olan yerler kapatıldı
Arıza;29.03.2022;Mikser;Mekanik;Vinas Pompa Arızası;Vinas Pompa Arızası;;29.03.2022;29.03.2022;18:30;19:00;30;Eski fabrika 2. kattaki vinas pompası arızaya geçiyordu içi açılıp temizlendi
Arıza;29.03.2022;Mikser;Mekanik;Nozul Arızası;Nozul Arızası;;29.03.2022;29.03.2022;22:30;23:15;45;Eski fabrika mikserin nozulları temizlendi
Arıza;30.03.2022;Kondisyonel-1;Mekanik;Motor Arızası;Motor Kayış Değişimi;4;30.03.2022;30.03.2022;11:00;12:00;60;Kondisyonel-1  kayışları yandı, değiştirildi.
Arıza;30.03.2022;Değirmen-1;Mekanik;Elek Arızası;Elek Değişimi;1;30.03.2022;30.03.2022;20:45;21:15;30;1 tane patlak elek vardı değiştirildi
Bakım;31.03.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;31.03.2022;31.03.2022;22:15;22:30;15;Elekler 4*4 yapıldı
Bakım;31.03.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;31.03.2022;31.03.2022;22:30;22:45;15;Elekler 4*4 yapıldı
Arıza;2.04.2022;Expander;Mekanik;Sigorta Arızası;Sigorta Değişimi;;2.04.2022;2.04.2022;00:30;04:00;210;Eski fabrika expander kasnağı sigorta kesmişti değiştirildi. Expander sıkışmıştı kaldırıldı
Arıza;2.04.2022;Kondisyonel-1;Mekanik;Motor Arızası;Motor Kayış Değişimi;4;2.04.2022;2.04.2022;08:35;09:20;45;Kondisyonel-1  kayışları yandı, değiştirildi.
Bakım;2.04.2022;Sarsak-1;Mekanik;Alt Saç Bakımı;Alt Saç Bakımı;;2.04.2022;2.04.2022;09:30;09:45;15;Sarsak-1 alt saç kaçırıyordu ayarlanma yapıldı
Bakım;2.04.2022;Sarsak-2;Mekanik;Alt Saç Bakımı;Alt Saç Bakımı;;2.04.2022;2.04.2022;09:45;10:00;15;Sarsak-2 alt saç kaçırıyordu ayarlanma yapıldı
Arıza;4.04.2022;Expander-2;Mekanik;Kırıcı Arıza;Kırıcı Arıza;;4.04.2022;4.04.2022;09:00;09:20;20;Expander-2 kırıcı rulman ayağı kopmuştu kaynatıldı
Arıza;4.04.2022;Değirmen-2;Mekanik;Elek Arızası;Elek Değişimi;1;4.04.2022;4.04.2022;08:30;09:00;30;1 tane patlak elek vardı değiştirildi
Arıza;4.04.2022;Pres Eleği-2;Mekanik;Akış Arızası;Akış Arızası;;4.04.2022;4.04.2022;14:30;15:00;30;Pres eleği-2 akışa 4 adet kova gelmişti alındı
Bakım;5.04.2022;Pres Elevatörü-1;Mekanik;Kova Bakımı;Kova Değişimi;20;5.04.2022;5.04.2022;08:10;09:30;80;Pres elevatörü-1 eksik ve kırık kovalar vardı değiştirildi
Bakım;5.04.2022;Pres Elevatörü-2;Mekanik;Kova Bakımı;Kova Değişimi;23;5.04.2022;5.04.2022;09:30;10:30;60;Pres elevatörü-2 eksik ve kırık kovalar vardı değiştirildi
Arıza;5.04.2022;Sarsak-3;Mekanik;Piston Arızası;Piston Arızası;;5.04.2022;5.04.2022;10:45;11:30;45;Sarsak-3 üst pistonun oturduğu ayağın demiri çatlamıştı değiştirildi
Bakım;5.04.2022;Pres Elevatörü-3;Mekanik;Tambur Bakımı;Tambur Bakımı;;5.04.2022;5.04.2022;11:00;11:40;40;Pres elevatörü-3 motor tarafındaki tamburu ayarlandı
Bakım;6.04.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;6.04.2022;6.04.2022;00:10;00:35;25;Elekler 4*3 oldu vuran taraf 3 oldu
Bakım;6.04.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;6.04.2022;6.04.2022;00:35;01:00;25;Elekler 4*3 oldu vuran taraf 3 oldu
Arıza;6.04.2022;Pres Eleği-1;Mekanik;Akış Arızası;Akış Arızası;;6.04.2022;6.04.2022;08:00;08:15;15;Pres eleği-1 akışından 2 adet kova alındı
Arıza;6.04.2022;Paketleme-1;Mekanik;Kefe Arızası;Kefe Arızası;;6.04.2022;6.04.2022;14:00;15:30;90;Yeni fabrika paketleme-1 kefenin kantar mili kırılmıştı kaynatıldı
Bakım;6.04.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;6.04.2022;6.04.2022;08:30;08:45;15;Elekler 3*3 oldu
Bakım;6.04.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;6.04.2022;6.04.2022;08:45;09:00;15;Elekler 3*3 oldu
Bakım;7.04.2022;Pres Elevatörü-4;Mekanik;Kestemit Bakımı;Kestemit Bakımı;;7.04.2022;7.04.2022;09:30;10:00;30;Yeni fabrika pres elevatörü-4 akıştaki kestamit bitmişti değiştirildi
Bakım;7.04.2022;Pres Elevatörü;Mekanik;Elevatör Bakımı;Elevatör Bakımı;;7.04.2022;7.04.2022;13:20;16:00;160;Eski fabrika pres elevatörünün kovaları ve ek yeri kontrol edildi sağ-sol ayarı yapıldı
Bakım;8.04.2022;Değirmen-1;Mekanik;Çekiç Bakımı;Çekiç Ters -Düz Yapılması;;8.04.2022;8.04.2022;09:00;10:30;90;Yeni fabrika değirmen-1 çekiçler ters-düz yapıldı elekler 4*4 yapıldı
Bakım;8.04.2022;Değirmen-2;Mekanik;Çekiç Bakımı;Çekiç Ters -Düz Yapılması;;8.04.2022;8.04.2022;10:30;12:00;90;Yeni fabrika değirmen-2 çekiçler ters-düz yapıldı elekler 4*4 yapıldı
Arıza;8.04.2022;Değirmen-1;Mekanik;Devir Bekçisi Arızası;Sensör Ayağı Değişimi;;8.04.2022;8.04.2022;22:40;23:50;70;Değirmen-1 devir bekçisi sensör ayağı değiştirildi
Bakım;8.04.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;8.04.2022;8.04.2022;23:50;00:05;15;Elekler 5*4 yapıldı
Arıza;9.04.2022;Expander-2;Mekanik;Ön Gömlek Arızası;Ön Gömlek Değişimi;1;9.04.2022;9.04.2022;00:30;01:40;70;Expander-2 ön gömleği dağılmıştı değiştirildi
Arıza;9.04.2022;Expander-2;Mekanik;Kafa Padıl Arızası;Kafa Padıl Değişimi;1;9.04.2022;9.04.2022;01:40;02:40;60;Expander-2 kafa padıl değişimi yapıldı
Arıza;9.04.2022;Expander-2;Mekanik;Stop Cıvata Arızası;Stop Cıvata Değişimi;3;9.04.2022;9.04.2022;02:40;03:00;20;Expander-2 3 adet stop civatası değiştirildi
Arıza;9.04.2022;Expander-2;Mekanik;Kırıcı Arıza;Kırıcı Arıza;;9.04.2022;9.04.2022;03:00;03:30;30;Expander-2 kırıcı yaprakları kopmuştu kaynatıldı
Arıza;9.04.2022;Pres-2;Mekanik;Sigorta Arızası;Sigorta Değişimi;1;9.04.2022;9.04.2022;10:00;10:30;30;Pres-2 sigorta kesmişti değiştirildi
Bakım;9.04.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;9.04.2022;9.04.2022;08:00;08:30;30;Elekler 5*4 yapıldı
Arıza;9.04.2022;Expander-2;Mekanik;Kırıcı Arıza;Kırıcı Arıza;;9.04.2022;9.04.2022;08:00;09:50;110;Expander-2 kırıcı yaprakları kopmuştu kaynatıldı yeni elek takıldı
Arıza;11.04.2022;Değirmen-1;Mekanik;Besleme Arızası;Besleme Sıkışması;;11.04.2022;11.04.2022;08:00;08:30;30;Değirmen-1 beslemesi sıkışmıştı açıldı
Arıza;12.04.2022;Pres-2;Mekanik;Vinas Pompa Arızası;Vinas Pompa Değişimi;1;12.04.2022;12.04.2022;08:00;09:50;110;Pres-2 vinas pompası değiştirildi
