,bayii,sipariş_miktarı,irsaliye_miktarı,fatura_miktarı,ürün_adı,birim_fiyat,alt_top,kdv,genel_toplam,kayıt_tarihi,onay_tarihi,istenen_teslimT,son_irsaliyeT,sevk_performansı,zamanında,kayıt_eden
2022-02-15 11:00:00,Doğu Anadolu Yem A.Ş.,80.0,80,80,Yonca Besi,560,44800,8064.0,52864.0,2022-02-15 11:00:00,2022-02-15 11:00:00,2022-02-18 11:00:00,2022-02-24 11:00:00,6,0,Sevkiyat-Onur
2022-02-15 12:00:00,Ege Yem A.Ş.,1643.0,1643,1643,Trend X,410,673630,121253.4,794883.4,2022-02-15 12:00:00,2022-02-15 12:00:00,2022-02-20 12:00:00,2022-02-27 12:00:00,7,0,Sevkiyat-Davut
2022-02-15 13:00:00,İç Anadolu Yem A.Ş.,517.0,517,517,Trend X,410,211970,38154.6,250124.6,2022-02-15 13:00:00,2022-02-15 13:00:00,2022-02-21 13:00:00,2022-03-10 13:00:00,17,0,Sevkiyat-Onur
2022-02-15 14:00:00,Marmara Yem A.Ş.,857.0,857,857,Trend 21,410,351370,63246.6,414616.6,2022-02-15 14:00:00,2022-02-15 14:00:00,2022-02-19 14:00:00,2022-03-11 14:00:00,20,0,Sevkiyat-Onur
2022-02-15 15:00:00,Karadeniz Yem A.Ş.,1505.0,1505,1505,Atax 18,495,744975,134095.5,879070.5,2022-02-15 15:00:00,2022-02-15 15:00:00,2022-02-21 15:00:00,2022-02-24 15:00:00,3,0,Sevkiyat-Bekir
2022-02-15 16:00:00,Güney Anadolu Yem A.Ş.,1502.0,1502,1502,20 A,395,593290,106792.2,700082.2,2022-02-15 16:00:00,2022-02-15 16:00:00,2022-02-20 16:00:00,2022-03-19 16:00:00,27,0,Sevkiyat-Mehmet
2022-02-15 19:00:00,Karadeniz Yem A.Ş.,81.0,81,81,Koyun Süt,440,35640,6415.2,42055.2,2022-02-15 19:00:00,2022-02-15 19:00:00,2022-02-18 19:00:00,2022-02-24 19:00:00,6,0,Sevkiyat-Onur
2022-02-15 20:00:00,Ege Yem A.Ş.,1296.0,1296,1296,Trend 19,460,596160,107308.8,703468.8,2022-02-15 20:00:00,2022-02-15 20:00:00,2022-02-20 20:00:00,2022-03-11 20:00:00,19,0,Sevkiyat-Onur
2022-02-15 21:00:00,Güney Anadolu Yem A.Ş.,1515.0,1515,1515,Trend X,410,621150,111807.0,732957.0,2022-02-15 21:00:00,2022-02-15 21:00:00,2022-02-20 21:00:00,2022-03-14 21:00:00,22,0,Sevkiyat-Davut
2022-02-15 22:00:00,İç Anadolu Yem A.Ş.,552.0,552,552,Trend X,410,226320,40737.6,267057.6,2022-02-15 22:00:00,2022-02-15 22:00:00,2022-02-20 22:00:00,2022-02-27 22:00:00,7,0,Sevkiyat-Davut
2022-02-15 23:00:00,Ege Yem A.Ş.,1210.0,1210,1210,Atax 16,480,580800,104544.0,685344.0,2022-02-15 23:00:00,2022-02-15 23:00:00,2022-02-20 23:00:00,2022-03-13 23:00:00,21,0,Sevkiyat-Ekrem
2022-02-16 00:00:00,Ege Yem A.Ş.,673.0,673,673,21 XS,450,302850,54513.0,357363.0,2022-02-16 00:00:00,2022-02-16 00:00:00,2022-02-21 00:00:00,2022-02-27 00:00:00,6,0,Sevkiyat-Davut
2022-02-16 02:00:00,Ege Yem A.Ş.,1138.0,1138,1138,A Besi,515,586070,105492.59999999999,691562.6,2022-02-16 02:00:00,2022-02-16 02:00:00,2022-02-22 02:00:00,2022-03-14 02:00:00,20,0,Sevkiyat-Mehmet
2022-02-16 03:00:00,Güney Anadolu Yem A.Ş.,259.0,259,259,Kuzu Besi ,460,119140,21445.2,140585.2,2022-02-16 03:00:00,2022-02-16 03:00:00,2022-02-19 03:00:00,2022-03-09 03:00:00,18,0,Sevkiyat-Onur
2022-02-16 04:00:00,Marmara Yem A.Ş.,1996.0,1996,1996,Besi 18 Geliştirme,550,1097800,197604.0,1295404.0,2022-02-16 04:00:00,2022-02-16 04:00:00,2022-02-21 04:00:00,2022-02-21 04:00:00,0,1,Sevkiyat-Onur
2022-02-16 05:00:00,Ege Yem A.Ş.,695.0,695,695,Atax 16,480,333600,60048.0,393648.0,2022-02-16 05:00:00,2022-02-16 05:00:00,2022-02-21 05:00:00,2022-03-05 05:00:00,12,0,Sevkiyat-Onur
2022-02-16 06:00:00,Ege Yem A.Ş.,930.0,930,930,Kuzu Besi ,460,427800,77004.0,504804.0,2022-02-16 06:00:00,2022-02-16 06:00:00,2022-02-20 06:00:00,2022-02-25 06:00:00,5,0,Sevkiyat-Mehmet
2022-02-16 07:00:00,Ege Yem A.Ş.,1749.0,1749,1749,Trend Besi,545,953205,171576.9,1124781.9,2022-02-16 07:00:00,2022-02-16 07:00:00,2022-02-19 07:00:00,2022-03-18 07:00:00,27,0,Sevkiyat-Ekrem
2022-02-16 08:00:00,İç Anadolu Yem A.Ş.,390.0,390,390,Trend XS,395,154050,27729.0,181779.0,2022-02-16 08:00:00,2022-02-16 08:00:00,2022-02-19 08:00:00,2022-03-15 08:00:00,24,0,Sevkiyat-Onur
2022-02-16 09:00:00,Akdeniz Yem A.Ş.,748.0,748,748,Trend 19,460,344080,61934.399999999994,406014.4,2022-02-16 09:00:00,2022-02-16 09:00:00,2022-02-21 09:00:00,2022-03-02 09:00:00,9,0,Sevkiyat-Bekir
2022-02-16 10:00:00,Akdeniz Yem A.Ş.,145.0,145,145,Trend XS,395,57275,10309.5,67584.5,2022-02-16 10:00:00,2022-02-16 10:00:00,2022-02-20 10:00:00,2022-03-17 10:00:00,25,0,Sevkiyat-Ekrem
2022-02-16 11:00:00,Ege Yem A.Ş.,1612.0,1612,1612,Trend 19,460,741520,133473.6,874993.6,2022-02-16 11:00:00,2022-02-16 11:00:00,2022-02-20 11:00:00,2022-03-21 11:00:00,29,0,Sevkiyat-Ekrem
2022-02-16 12:00:00,Karadeniz Yem A.Ş.,493.0,493,493,21 XS,450,221850,39933.0,261783.0,2022-02-16 12:00:00,2022-02-16 12:00:00,2022-02-19 12:00:00,2022-03-15 12:00:00,24,0,Sevkiyat-Onur
2022-02-16 14:00:00,Akdeniz Yem A.Ş.,1367.0,1367,1367,Trend 19,460,628820,113187.59999999999,742007.6,2022-02-16 14:00:00,2022-02-16 14:00:00,2022-02-22 14:00:00,2022-03-14 14:00:00,20,0,Sevkiyat-Onur
2022-02-16 15:00:00,İç Anadolu Yem A.Ş.,770.0,770,770,Trend XS,395,304150,54747.0,358897.0,2022-02-16 15:00:00,2022-02-16 15:00:00,2022-02-20 15:00:00,2022-02-25 15:00:00,5,0,Sevkiyat-Davut
2022-02-16 16:00:00,İç Anadolu Yem A.Ş.,997.0,997,997,Besi Bitirme,430,428710,77167.8,505877.8,2022-02-16 16:00:00,2022-02-16 16:00:00,2022-02-20 16:00:00,2022-03-15 16:00:00,23,0,Sevkiyat-Onur
2022-02-16 17:00:00,Güney Anadolu Yem A.Ş.,1766.0,1766,1766,Trend Besi,545,962470,173244.6,1135714.6,2022-02-16 17:00:00,2022-02-16 17:00:00,2022-02-22 17:00:00,2022-02-26 17:00:00,4,0,Sevkiyat-Mehmet
2022-02-16 18:00:00,Karadeniz Yem A.Ş.,1116.0,1116,1116,Besi 18 Geliştirme,550,613800,110484.0,724284.0,2022-02-16 18:00:00,2022-02-16 18:00:00,2022-02-21 18:00:00,2022-03-05 18:00:00,12,0,Sevkiyat-Bekir
2022-02-16 19:00:00,Akdeniz Yem A.Ş.,1798.0,1798,1798,20 X,420,755160,135928.8,891088.8,2022-02-16 19:00:00,2022-02-16 19:00:00,2022-02-20 19:00:00,2022-03-10 19:00:00,18,0,Sevkiyat-Mehmet
2022-02-16 21:00:00,Ege Yem A.Ş.,1455.0,1455,1455,Trend Besi,545,792975,142735.5,935710.5,2022-02-16 21:00:00,2022-02-16 21:00:00,2022-02-21 21:00:00,2022-03-06 21:00:00,13,0,Sevkiyat-Mehmet
2022-02-16 22:00:00,Karadeniz Yem A.Ş.,1067.0,1067,1067,Buzağı Büyütme,380,405460,72982.8,478442.8,2022-02-16 22:00:00,2022-02-16 22:00:00,2022-02-22 22:00:00,2022-02-26 22:00:00,4,0,Sevkiyat-Bekir
2022-02-16 23:00:00,Doğu Anadolu Yem A.Ş.,1094.0,1094,1094,Koyun Süt,440,481360,86644.8,568004.8,2022-02-16 23:00:00,2022-02-16 23:00:00,2022-02-20 23:00:00,2022-02-21 23:00:00,1,0,Sevkiyat-Bekir
2022-02-17 00:00:00,Doğu Anadolu Yem A.Ş.,920.0,920,920,Kuzu Büyütme,520,478400,86112.0,564512.0,2022-02-17 00:00:00,2022-02-17 00:00:00,2022-02-21 00:00:00,2022-03-22 00:00:00,29,0,Sevkiyat-Davut
2022-02-17 01:00:00,İç Anadolu Yem A.Ş.,1747.0,1747,1747,Yonca Besi,560,978320,176097.6,1154417.6,2022-02-17 01:00:00,2022-02-17 01:00:00,2022-02-23 01:00:00,2022-03-14 01:00:00,19,0,Sevkiyat-Bekir
2022-02-17 02:00:00,Doğu Anadolu Yem A.Ş.,102.0,102,102,20 A,395,40290,7252.2,47542.2,2022-02-17 02:00:00,2022-02-17 02:00:00,2022-02-23 02:00:00,2022-03-05 02:00:00,10,0,Sevkiyat-Ekrem
2022-02-17 03:00:00,Doğu Anadolu Yem A.Ş.,982.0,982,982,A Besi,515,505730,91031.4,596761.4,2022-02-17 03:00:00,2022-02-17 03:00:00,2022-02-22 03:00:00,2022-02-24 03:00:00,2,0,Sevkiyat-Ekrem
2022-02-17 05:00:00,Güney Anadolu Yem A.Ş.,1739.0,1739,1739,Yonca Besi,560,973840,175291.19999999998,1149131.2,2022-02-17 05:00:00,2022-02-17 05:00:00,2022-02-22 05:00:00,2022-03-17 05:00:00,23,0,Sevkiyat-Mehmet
2022-02-17 06:00:00,Akdeniz Yem A.Ş.,986.0,986,986,Trend Besi,545,537370,96726.59999999999,634096.6,2022-02-17 06:00:00,2022-02-17 06:00:00,2022-02-21 06:00:00,2022-03-11 06:00:00,18,0,Sevkiyat-Mehmet
2022-02-17 07:00:00,Doğu Anadolu Yem A.Ş.,1304.0,1304,1304,A Besi,515,671560,120880.79999999999,792440.8,2022-02-17 07:00:00,2022-02-17 07:00:00,2022-02-21 07:00:00,2022-03-12 07:00:00,19,0,Sevkiyat-Ekrem
2022-02-17 08:00:00,Karadeniz Yem A.Ş.,346.0,346,346,Trend 21,410,141860,25534.8,167394.8,2022-02-17 08:00:00,2022-02-17 08:00:00,2022-02-20 08:00:00,2022-03-21 08:00:00,29,0,Sevkiyat-Ekrem
2022-02-17 10:00:00,Ege Yem A.Ş.,1659.0,1659,1659,Toklu Besi,545,904155,162747.9,1066902.9,2022-02-17 10:00:00,2022-02-17 10:00:00,2022-02-23 10:00:00,2022-03-09 10:00:00,14,0,Sevkiyat-Mehmet
2022-02-17 11:00:00,Marmara Yem A.Ş.,711.0,711,711,20 X,420,298620,53751.6,352371.6,2022-02-17 11:00:00,2022-02-17 11:00:00,2022-02-22 11:00:00,2022-03-05 11:00:00,11,0,Sevkiyat-Davut
2022-02-17 12:00:00,Karadeniz Yem A.Ş.,1561.0,1561,1561,Toklu Besi,545,850745,153134.1,1003879.1,2022-02-17 12:00:00,2022-02-17 12:00:00,2022-02-21 12:00:00,2022-03-04 12:00:00,11,0,Sevkiyat-Davut
2022-02-17 13:00:00,Karadeniz Yem A.Ş.,400.0,400,400,Trend 21 XS,380,152000,27360.0,179360.0,2022-02-17 13:00:00,2022-02-17 13:00:00,2022-02-22 13:00:00,2022-03-07 13:00:00,13,0,Sevkiyat-Mehmet
2022-02-17 14:00:00,Marmara Yem A.Ş.,147.0,147,147,Atax 18,495,72765,13097.699999999999,85862.7,2022-02-17 14:00:00,2022-02-17 14:00:00,2022-02-22 14:00:00,2022-03-08 14:00:00,14,0,Sevkiyat-Mehmet
2022-02-17 15:00:00,Güney Anadolu Yem A.Ş.,1068.0,1068,1068,Kuzu Besi ,460,491280,88430.4,579710.4,2022-02-17 15:00:00,2022-02-17 15:00:00,2022-02-20 15:00:00,2022-03-18 15:00:00,26,0,Sevkiyat-Bekir
2022-02-17 16:00:00,Doğu Anadolu Yem A.Ş.,261.0,261,261,Trend 21 XS,380,99180,17852.399999999998,117032.4,2022-02-17 16:00:00,2022-02-17 16:00:00,2022-02-21 16:00:00,2022-02-25 16:00:00,4,0,Sevkiyat-Davut
2022-02-17 17:00:00,İç Anadolu Yem A.Ş.,1095.0,1095,1095,Trend 19,460,503700,90666.0,594366.0,2022-02-17 17:00:00,2022-02-17 17:00:00,2022-02-22 17:00:00,2022-03-12 17:00:00,18,0,Sevkiyat-Davut
2022-02-17 18:00:00,Güney Anadolu Yem A.Ş.,1615.0,1615,1615,Gebe Düve,520,839800,151164.0,990964.0,2022-02-17 18:00:00,2022-02-17 18:00:00,2022-02-21 18:00:00,2022-02-24 18:00:00,3,0,Sevkiyat-Onur
2022-02-17 19:00:00,Ege Yem A.Ş.,159.0,159,159,Atax 18,495,78705,14166.9,92871.9,2022-02-17 19:00:00,2022-02-17 19:00:00,2022-02-21 19:00:00,2022-03-13 19:00:00,20,0,Sevkiyat-Bekir
2022-02-17 21:00:00,Doğu Anadolu Yem A.Ş.,1208.0,1208,1208,Koyun Süt,440,531520,95673.59999999999,627193.6,2022-02-17 21:00:00,2022-02-17 21:00:00,2022-02-21 21:00:00,2022-03-15 21:00:00,22,0,Sevkiyat-Bekir
2022-02-17 22:00:00,Marmara Yem A.Ş.,61.0,61,61,Trend Besi,545,33245,5984.099999999999,39229.1,2022-02-17 22:00:00,2022-02-17 22:00:00,2022-02-21 22:00:00,2022-03-20 22:00:00,27,0,Sevkiyat-Mehmet
2022-02-17 23:00:00,Doğu Anadolu Yem A.Ş.,1130.0,1130,1130,20 A,395,446350,80343.0,526693.0,2022-02-17 23:00:00,2022-02-17 23:00:00,2022-02-21 23:00:00,2022-02-24 23:00:00,3,0,Sevkiyat-Mehmet
2022-02-18 00:00:00,Karadeniz Yem A.Ş.,97.0,97,97,Trend 21 XS,380,36860,6634.8,43494.8,2022-02-18 00:00:00,2022-02-18 00:00:00,2022-02-21 00:00:00,2022-03-01 00:00:00,8,0,Sevkiyat-Mehmet
2022-02-18 02:00:00,Ege Yem A.Ş.,1894.0,1894,1894,Trend XS,395,748130,134663.4,882793.4,2022-02-18 02:00:00,2022-02-18 02:00:00,2022-02-22 02:00:00,2022-03-06 02:00:00,12,0,Sevkiyat-Onur
2022-02-18 03:00:00,Güney Anadolu Yem A.Ş.,1669.0,1669,1669,Koyun Süt,440,734360,132184.8,866544.8,2022-02-18 03:00:00,2022-02-18 03:00:00,2022-02-24 03:00:00,2022-02-24 03:00:00,0,1,Sevkiyat-Mehmet
2022-02-18 04:00:00,Güney Anadolu Yem A.Ş.,607.0,607,607,Kuzu Büyütme,520,315640,56815.2,372455.2,2022-02-18 04:00:00,2022-02-18 04:00:00,2022-02-23 04:00:00,2022-03-06 04:00:00,11,0,Sevkiyat-Ekrem
2022-02-18 06:00:00,Karadeniz Yem A.Ş.,364.0,364,364,Trend 21,410,149240,26863.2,176103.2,2022-02-18 06:00:00,2022-02-18 06:00:00,2022-02-21 06:00:00,2022-02-24 06:00:00,3,0,Sevkiyat-Onur
2022-02-18 07:00:00,Marmara Yem A.Ş.,1656.0,1656,1656,Toklu Besi,545,902520,162453.6,1064973.6,2022-02-18 07:00:00,2022-02-18 07:00:00,2022-02-23 07:00:00,2022-03-02 07:00:00,7,0,Sevkiyat-Ekrem
2022-02-18 08:00:00,Karadeniz Yem A.Ş.,606.0,606,606,Buzağı Büyütme,380,230280,41450.4,271730.4,2022-02-18 08:00:00,2022-02-18 08:00:00,2022-02-24 08:00:00,2022-03-24 08:00:00,28,0,Sevkiyat-Onur
2022-02-18 09:00:00,Marmara Yem A.Ş.,779.0,779,779,Trend 19,460,358340,64501.2,422841.2,2022-02-18 09:00:00,2022-02-18 09:00:00,2022-02-21 09:00:00,2022-03-20 09:00:00,27,0,Sevkiyat-Mehmet
2022-02-18 10:00:00,Doğu Anadolu Yem A.Ş.,767.0,767,767,Besi 18 Geliştirme,550,421850,75933.0,497783.0,2022-02-18 10:00:00,2022-02-18 10:00:00,2022-02-21 10:00:00,2022-02-28 10:00:00,7,0,Sevkiyat-Bekir
2022-02-18 12:00:00,Karadeniz Yem A.Ş.,1408.0,1408,1408,Kuzu Büyütme,520,732160,131788.8,863948.8,2022-02-18 12:00:00,2022-02-18 12:00:00,2022-02-21 12:00:00,2022-03-15 12:00:00,22,0,Sevkiyat-Mehmet
2022-02-18 13:00:00,Ege Yem A.Ş.,1349.0,1349,1349,21 XS,450,607050,109269.0,716319.0,2022-02-18 13:00:00,2022-02-18 13:00:00,2022-02-21 13:00:00,2022-03-14 13:00:00,21,0,Sevkiyat-Bekir
2022-02-18 14:00:00,Akdeniz Yem A.Ş.,367.0,367,367,Yonca Besi,560,205520,36993.6,242513.6,2022-02-18 14:00:00,2022-02-18 14:00:00,2022-02-22 14:00:00,2022-03-20 14:00:00,26,0,Sevkiyat-Ekrem
2022-02-18 15:00:00,Karadeniz Yem A.Ş.,108.0,108,108,Koyun Süt,440,47520,8553.6,56073.6,2022-02-18 15:00:00,2022-02-18 15:00:00,2022-02-24 15:00:00,2022-03-16 15:00:00,20,0,Sevkiyat-Bekir
2022-02-18 16:00:00,Doğu Anadolu Yem A.Ş.,813.0,813,813,Trend 21,410,333330,59999.399999999994,393329.4,2022-02-18 16:00:00,2022-02-18 16:00:00,2022-02-24 16:00:00,2022-03-21 16:00:00,25,0,Sevkiyat-Ekrem
2022-02-18 17:00:00,Akdeniz Yem A.Ş.,1494.0,1494,1494,Buzağı Başlangıç,430,642420,115635.59999999999,758055.6,2022-02-18 17:00:00,2022-02-18 17:00:00,2022-02-23 17:00:00,2022-03-02 17:00:00,7,0,Sevkiyat-Onur
2022-02-18 20:00:00,Güney Anadolu Yem A.Ş.,1004.0,1004,1004,Trend 21,410,411640,74095.2,485735.2,2022-02-18 20:00:00,2022-02-18 20:00:00,2022-02-21 20:00:00,2022-03-07 20:00:00,14,0,Sevkiyat-Mehmet
2022-02-18 21:00:00,İç Anadolu Yem A.Ş.,705.0,705,705,20 X,420,296100,53298.0,349398.0,2022-02-18 21:00:00,2022-02-18 21:00:00,2022-02-21 21:00:00,2022-03-11 21:00:00,18,0,Sevkiyat-Davut
2022-02-18 22:00:00,Akdeniz Yem A.Ş.,1819.0,1819,1819,Atax 18,495,900405,162072.9,1062477.9,2022-02-18 22:00:00,2022-02-18 22:00:00,2022-02-24 22:00:00,2022-03-17 22:00:00,21,0,Sevkiyat-Ekrem
2022-02-18 23:00:00,Marmara Yem A.Ş.,1751.0,1751,1751,Trend 19,460,805460,144982.8,950442.8,2022-02-18 23:00:00,2022-02-18 23:00:00,2022-02-24 23:00:00,2022-03-12 23:00:00,16,0,Sevkiyat-Davut
2022-02-19 00:00:00,Doğu Anadolu Yem A.Ş.,1645.0,1645,1645,Trend 21 XS,380,625100,112518.0,737618.0,2022-02-19 00:00:00,2022-02-19 00:00:00,2022-02-24 00:00:00,2022-03-09 00:00:00,13,0,Sevkiyat-Davut
2022-02-19 01:00:00,Karadeniz Yem A.Ş.,1275.0,1275,1275,21 X,530,675750,121635.0,797385.0,2022-02-19 01:00:00,2022-02-19 01:00:00,2022-02-24 01:00:00,2022-03-08 01:00:00,12,0,Sevkiyat-Davut
2022-02-19 02:00:00,Doğu Anadolu Yem A.Ş.,315.0,315,315,Trend 19,460,144900,26082.0,170982.0,2022-02-19 02:00:00,2022-02-19 02:00:00,2022-02-22 02:00:00,2022-02-24 02:00:00,2,0,Sevkiyat-Mehmet
2022-02-19 03:00:00,Ege Yem A.Ş.,844.0,844,844,20 A,395,333380,60008.399999999994,393388.4,2022-02-19 03:00:00,2022-02-19 03:00:00,2022-02-23 03:00:00,2022-03-08 03:00:00,13,0,Sevkiyat-Davut
2022-02-19 04:00:00,İç Anadolu Yem A.Ş.,775.0,775,775,Trend Besi,545,422375,76027.5,498402.5,2022-02-19 04:00:00,2022-02-19 04:00:00,2022-02-22 04:00:00,2022-03-12 04:00:00,18,0,Sevkiyat-Davut
2022-02-19 06:00:00,İç Anadolu Yem A.Ş.,1243.0,1243,1243,21 X,530,658790,118582.2,777372.2,2022-02-19 06:00:00,2022-02-19 06:00:00,2022-02-24 06:00:00,2022-03-22 06:00:00,26,0,Sevkiyat-Onur
2022-02-19 07:00:00,Doğu Anadolu Yem A.Ş.,1515.0,1515,1515,Atax 16,480,727200,130896.0,858096.0,2022-02-19 07:00:00,2022-02-19 07:00:00,2022-02-22 07:00:00,2022-03-06 07:00:00,12,0,Sevkiyat-Mehmet
2022-02-19 09:00:00,Güney Anadolu Yem A.Ş.,1023.0,1023,1023,Buzağı Başlangıç,430,439890,79180.2,519070.2,2022-02-19 09:00:00,2022-02-19 09:00:00,2022-02-22 09:00:00,2022-02-28 09:00:00,6,0,Sevkiyat-Ekrem
2022-02-19 10:00:00,Güney Anadolu Yem A.Ş.,110.0,110,110,Trend Besi,545,59950,10791.0,70741.0,2022-02-19 10:00:00,2022-02-19 10:00:00,2022-02-25 10:00:00,2022-03-10 10:00:00,13,0,Sevkiyat-Davut
2022-02-19 11:00:00,Marmara Yem A.Ş.,140.0,140,140,Gebe Düve,520,72800,13104.0,85904.0,2022-02-19 11:00:00,2022-02-19 11:00:00,2022-02-22 11:00:00,2022-02-28 11:00:00,6,0,Sevkiyat-Mehmet
2022-02-19 12:00:00,Doğu Anadolu Yem A.Ş.,1828.0,1828,1828,Besi 18 Geliştirme,550,1005400,180972.0,1186372.0,2022-02-19 12:00:00,2022-02-19 12:00:00,2022-02-23 12:00:00,2022-03-03 12:00:00,8,0,Sevkiyat-Davut
2022-02-19 14:00:00,Marmara Yem A.Ş.,336.0,336,336,Buzağı Başlangıç,430,144480,26006.399999999998,170486.4,2022-02-19 14:00:00,2022-02-19 14:00:00,2022-02-25 14:00:00,2022-03-23 14:00:00,26,0,Sevkiyat-Bekir
2022-02-19 15:00:00,Ege Yem A.Ş.,1152.0,1152,1152,Atax 16,480,552960,99532.8,652492.8,2022-02-19 15:00:00,2022-02-19 15:00:00,2022-02-23 15:00:00,2022-03-17 15:00:00,22,0,Sevkiyat-Davut
2022-02-19 16:00:00,Marmara Yem A.Ş.,982.0,982,982,21 X,530,520460,93682.8,614142.8,2022-02-19 16:00:00,2022-02-19 16:00:00,2022-02-23 16:00:00,2022-03-19 16:00:00,24,0,Sevkiyat-Ekrem
2022-02-19 17:00:00,Akdeniz Yem A.Ş.,112.0,112,112,Kuzu Besi ,460,51520,9273.6,60793.6,2022-02-19 17:00:00,2022-02-19 17:00:00,2022-02-25 17:00:00,2022-03-26 17:00:00,29,0,Sevkiyat-Davut
2022-02-19 18:00:00,Karadeniz Yem A.Ş.,1948.0,1948,1948,Trend 21,410,798680,143762.4,942442.4,2022-02-19 18:00:00,2022-02-19 18:00:00,2022-02-25 18:00:00,2022-03-13 18:00:00,16,0,Sevkiyat-Davut
2022-02-19 19:00:00,Marmara Yem A.Ş.,435.0,435,435,Trend 21 XS,380,165300,29754.0,195054.0,2022-02-19 19:00:00,2022-02-19 19:00:00,2022-02-24 19:00:00,2022-03-12 19:00:00,16,0,Sevkiyat-Davut
2022-02-19 20:00:00,Ege Yem A.Ş.,93.0,93,93,20 A,395,36735,6612.3,43347.3,2022-02-19 20:00:00,2022-02-19 20:00:00,2022-02-23 20:00:00,2022-03-02 20:00:00,7,0,Sevkiyat-Ekrem
2022-02-19 21:00:00,Güney Anadolu Yem A.Ş.,1189.0,1189,1189,Atax 18,495,588555,105939.9,694494.9,2022-02-19 21:00:00,2022-02-19 21:00:00,2022-02-22 21:00:00,2022-03-04 21:00:00,10,0,Sevkiyat-Onur
2022-02-19 22:00:00,Karadeniz Yem A.Ş.,1260.0,1260,1260,Trend 21,410,516600,92988.0,609588.0,2022-02-19 22:00:00,2022-02-19 22:00:00,2022-02-22 22:00:00,2022-03-07 22:00:00,13,0,Sevkiyat-Mehmet
2022-02-19 23:00:00,Güney Anadolu Yem A.Ş.,1355.0,1355,1355,Trend Besi,545,738475,132925.5,871400.5,2022-02-19 23:00:00,2022-02-19 23:00:00,2022-02-23 23:00:00,2022-03-03 23:00:00,8,0,Sevkiyat-Ekrem
2022-02-20 00:00:00,Akdeniz Yem A.Ş.,805.0,805,805,Trend XS,395,317975,57235.5,375210.5,2022-02-20 00:00:00,2022-02-20 00:00:00,2022-02-23 00:00:00,2022-02-24 00:00:00,1,0,Sevkiyat-Mehmet
2022-02-20 01:00:00,Doğu Anadolu Yem A.Ş.,1533.0,1533,1533,20 X,420,643860,115894.8,759754.8,2022-02-20 01:00:00,2022-02-20 01:00:00,2022-02-23 01:00:00,2022-03-10 01:00:00,15,0,Sevkiyat-Bekir
2022-02-20 02:00:00,Akdeniz Yem A.Ş.,1134.0,1134,1134,A Besi,515,584010,105121.8,689131.8,2022-02-20 02:00:00,2022-02-20 02:00:00,2022-02-25 02:00:00,2022-03-09 02:00:00,12,0,Sevkiyat-Mehmet
2022-02-20 03:00:00,Güney Anadolu Yem A.Ş.,1547.0,1547,1547,GRN Yonca Süt,520,804440,144799.19999999998,949239.2,2022-02-20 03:00:00,2022-02-20 03:00:00,2022-02-25 03:00:00,2022-03-07 03:00:00,10,0,Sevkiyat-Ekrem
2022-02-20 04:00:00,İç Anadolu Yem A.Ş.,1068.0,1068,1068,Kuzu Besi ,460,491280,88430.4,579710.4,2022-02-20 04:00:00,2022-02-20 04:00:00,2022-02-24 04:00:00,2022-02-28 04:00:00,4,0,Sevkiyat-Bekir
2022-02-20 05:00:00,Ege Yem A.Ş.,56.0,56,56,Yonca Besi,560,31360,5644.8,37004.8,2022-02-20 05:00:00,2022-02-20 05:00:00,2022-02-26 05:00:00,2022-03-23 05:00:00,25,0,Sevkiyat-Davut
2022-02-20 06:00:00,İç Anadolu Yem A.Ş.,905.0,905,905,GRN Yonca Süt,520,470600,84708.0,555308.0,2022-02-20 06:00:00,2022-02-20 06:00:00,2022-02-26 06:00:00,2022-03-25 06:00:00,27,0,Sevkiyat-Mehmet
2022-02-20 07:00:00,Ege Yem A.Ş.,477.0,477,477,Atax 16,480,228960,41212.799999999996,270172.8,2022-02-20 07:00:00,2022-02-20 07:00:00,2022-02-24 07:00:00,2022-03-05 07:00:00,9,0,Sevkiyat-Davut
2022-02-20 08:00:00,Marmara Yem A.Ş.,1752.0,1752,1752,21 X,530,928560,167140.8,1095700.8,2022-02-20 08:00:00,2022-02-20 08:00:00,2022-02-26 08:00:00,2022-03-26 08:00:00,28,0,Sevkiyat-Bekir
2022-02-20 09:00:00,Güney Anadolu Yem A.Ş.,380.0,380,380,Koyun Süt,440,167200,30096.0,197296.0,2022-02-20 09:00:00,2022-02-20 09:00:00,2022-02-23 09:00:00,2022-02-28 09:00:00,5,0,Sevkiyat-Onur
2022-02-20 10:00:00,Güney Anadolu Yem A.Ş.,1732.0,1732,1732,Buzağı Büyütme,380,658160,118468.79999999999,776628.8,2022-02-20 10:00:00,2022-02-20 10:00:00,2022-02-25 10:00:00,2022-02-28 10:00:00,3,0,Sevkiyat-Onur
2022-02-20 11:00:00,Karadeniz Yem A.Ş.,659.0,659,659,GRN Yonca Süt,520,342680,61682.399999999994,404362.4,2022-02-20 11:00:00,2022-02-20 11:00:00,2022-02-24 11:00:00,2022-03-22 11:00:00,26,0,Sevkiyat-Davut
2022-02-20 13:00:00,Ege Yem A.Ş.,1808.0,1808,1808,Atax 16,480,867840,156211.19999999998,1024051.2,2022-02-20 13:00:00,2022-02-20 13:00:00,2022-02-25 13:00:00,2022-03-12 13:00:00,15,0,Sevkiyat-Mehmet
